Total time (s);Total recompute time (ms);Amount of recomputes;Path length;Expanded nodes
1,0911464;1081,8224;74;826;770957
0,460541;450,211;54;608;343252
1,0973606;1021,2438;66;730;812044
1,2923869;1271,8928;72;800;949798
0,7398175;709,1754;76;840;574635
1,0357023;1006,0683;85;948;788410
1,1819196;1129,8646;85;940;890864
0,6421173;597,3535;54;602;487982
0,7661459;755,8176;73;812;586515
0,6239615;612,2827;67;746;483732
1,2225009;1165,7692;68;764;886632
0,826882;815,4671;64;712;637380
1,158798;1099,2938;72;804;872257
0,9418661;899,7923;80;884;716014
0,8419384;789,6042;63;708;638554
1,6530578;1607,6209;82;916;1247926
0,4459988;400,8305;64;710;360982
1,1527573;1127,1627;72;798;861756
1,327328;1295,5361;79;884;998779
0,524592;503,9564;53;596;376595
2,7864394;2702,0117;96;1068;2069079
2,1354234;2050,6439;79;882;1546348
1,1175755;1083,9623;69;772;852327
1,2548734;1221,3954;79;882;924481
1,8954803;1839,2735;99;1102;1444811
0,5184741;504,327;56;628;359688
0,5210088;501,9655;61;676;405837
1,4463579;1424,4538;106;1176;1168028
0,6170199;607,4642;60;668;467125
0,7908861;782,3527;59;662;602649
0,6070242;593,6918;63;702;463887
0,7269196;696,0774;59;654;538761
1,1777066;1159,403;100;1106;925124
0,5488135;522,4571;57;632;410213
0,9648412;901,3448;69;764;707982
1,335282;1314,1049;77;856;954100
1,1892176;1156,4925;70;782;903125
0,5564505;546,5499;56;626;422042
1,0515084;981,7225;61;678;796562
0,7117268;671,4726;61;686;551344
0,583162;559,2616;64;708;455349
1,3230369;1265,3534;83;930;989536
1,3320035;1304,7449;90;998;1025276
1,843027;1805,2913;71;796;1338184
0,6842902;670,0105;84;934;535759
0,4472195;431,331;61;684;347096
1,1776947;1135,5696;79;882;905324
1,0960511;1025,2632;78;868;830611
0,8217344;799,9554;63;698;620736
0,6020973;575,8726;70;780;485559
0,6072422;571,396;59;660;456491
0,6891058;659,9831;59;656;499530
0,797813;790,8042;68;756;577341
0,8467293;830,7123;67;744;663570
0,3926544;367,3017;54;604;307912
0,7508027;702,8791;70;776;567826
1,3081689;1300,742;105;1166;1038981
0,5509655;497,1536;58;650;418310
0,2733087;264,9177;55;614;207843
1,0626695;1015,1508;62;692;771924
1,1966737;1156,0603;73;810;919123
1,6091009;1523,0224;80;894;1181075
1,6265205;1605,9278;90;1006;1261331
0,7599084;726,1962;78;870;580197
1,0483567;1036,9473;77;854;799646
0,8705023;851,105;78;872;686065
1,1443159;1109,5481;61;680;838199
0,5261581;508,0454;52;584;382627
0,89295;851,3945;82;908;656289
1,01688;974,3188;90;1006;802475
1,6344963;1610,0693;85;942;1236106
0,4906837;480,3707;53;588;365327
0,9723595;938,1492;85;952;756930
0,872339;835,0145;64;718;693349
0,561833;541,4461;57;640;389227
0,637588;604,6232;69;766;409088
1,0065653;972,8463;78;866;686407
1,4451372;1418,9383;100;1116;1093900
0,9308553;866,119;74;824;544892
0,801842;785,8138;63;708;513709
1,8191621;1744,1864;98;1088;1280447
0,8235745;782,8154;81;900;611219
0,9706555;950,7697;61;676;678328
0,7527033;720,734;59;658;523700
1,3962598;1381,1117;79;884;917943
0,7120486;684,3548;60;666;504708
1,1436499;1128,5155;84;940;825693
0,5608656;553,2889;60;676;424858
1,4917727;1449,5077;78;864;1048262
0,9045786;823,0147;54;602;581876
1,4953074;1458,4846;69;774;970267
1,6606829;1647,3042;107;1188;997103
1,1834459;1151,589;78;872;842830
1,7363723;1703,601;91;1010;1230545
0,8889232;855,321;59;656;670772
0,2788907;251,4507;45;508;218836
0,6051667;533,5891;58;648;446800
0,7852656;726,0809;72;800;603058
0,7138567;682,748;82;912;565103
0,982267;961,1082;78;868;727912
